,,,Scor,Scor,Scor,Scor,,,Spec,Spec,,Shot,Shot,-additional
Rk,Player,Tm,G,A,PTS,+/-,PS,EV,PP,SH,GW,S,S%,-9999
490,Torey Krug,STL,7,25,32,-26,2.5,3,4,0,1,126,5.6,krugto01
491,Dominik Kubalík,DET,20,25,45,-15,3.8,13,7,0,3,174,11.5,kubaldo01
492,Nikita Kucherov,TBL,30,83,113,-2,10.7,22,8,0,4,271,11.1,kucheni01
493,Karson Kuhlman,TOT,3,4,7,-4,-0.1,3,0,0,2,48,6.3,kuhlmka01
493,Karson Kuhlman,WPG,2,2,4,-7,-0.3,2,0,0,1,35,5.7,kuhlmka01
493,Karson Kuhlman,SEA,1,2,3,3,0.2,1,0,0,1,13,7.7,kuhlmka01
494,Brett Kulak,EDM,3,17,20,11,3.4,3,0,0,0,114,2.6,kulakbr01
495,Dmitry Kulikov,TOT,3,13,16,-13,2.2,3,0,0,0,84,3.6,kulikdm01
495,Dmitry Kulikov,ANA,3,12,15,-11,2.2,3,0,0,0,80,3.8,kulikdm01
495,Dmitry Kulikov,PIT,0,1,1,-2,0.0,0,0,0,0,4,0.0,kulikdm01
496,Luke Kunin,SJS,5,8,13,-9,0.7,3,2,0,0,58,8.6,kuninlu01
497,Rasmus Kupari,LAK,3,12,15,-5,0.4,3,0,0,0,53,5.7,kuparra01
498,Sean Kuraly,CBJ,11,9,20,-28,0.4,9,1,1,0,100,11.0,kuralse01
499,Philipp Kurashev,CHI,9,16,25,-32,0.5,9,0,0,2,116,7.8,kurasph01
500,Andrei Kuzmenko,VAN,39,35,74,9,8.6,25,14,0,4,143,27.3,kuzmean01
501,Evgeny Kuznetsov,WSH,12,43,55,-26,3.3,7,5,0,2,172,7.0,kuzneev01
502,Jordan Kyrou,STL,37,36,73,-38,6.7,26,11,0,5,272,13.6,kyroujo01
503,Kevin Labanc,SJS,15,18,33,-17,2.4,13,2,0,0,129,11.6,labanke01
504,Jackson LaCombe,ANA,0,0,0,-1,0.0,0,0,0,0,1,0.0,lacomja01
505,Tanner Laczynski,PHI,2,2,4,-5,-0.1,2,0,0,0,23,8.7,laczyta01
506,Sam Lafferty,TOT,12,15,27,-11,2.0,8,0,4,1,102,11.8,laffesa01
506,Sam Lafferty,CHI,10,11,21,-10,1.6,6,0,4,1,83,12.0,laffesa01
506,Sam Lafferty,TOR,2,4,6,-1,0.3,2,0,0,0,19,10.5,laffesa01
507,Alexis Lafrenière,NYR,16,23,39,10,3.6,13,3,0,2,135,11.9,lafreal01
508,Patrik Laine,CBJ,22,30,52,-12,5.2,14,8,0,1,184,12.0,lainepa01
509,Maxime Lajoie,CAR,0,0,0,0,0.0,0,0,0,0,2,0.0,lajoima01
510,Dylan Larkin,DET,32,47,79,-7,8.0,15,16,1,5,244,13.1,larkidy01
511,Adam Larsson,SEA,8,25,33,27,6.7,7,0,1,2,143,5.6,larssad01
512,Jacob Larsson,OTT,0,0,0,0,0.1,0,0,0,0,4,0.0,larssja01
513,Scott Laughton,PHI,18,25,43,-9,3.4,10,5,3,0,170,10.6,laughsc01
514,Jakub Lauko,BOS,4,3,7,2,0.8,4,0,0,1,17,23.5,laukoja01
515,Jeremy Lauzon,NSH,3,9,12,-11,2.1,3,0,0,0,77,3.9,lauzoje01
516,Curtis Lazar,TOT,3,2,5,-6,-0.5,3,0,0,0,55,5.5,lazarcu01
516,Curtis Lazar,VAN,3,2,5,-5,-0.4,3,0,0,0,54,5.6,lazarcu01
516,Curtis Lazar,NJD,0,0,0,-1,-0.1,0,0,0,0,1,0.0,lazarcu01
517,Brett Leason,ANA,6,3,9,-21,-0.3,6,0,0,1,51,11.8,leasobr01
518,Nick Leddy,STL,2,21,23,4,3.5,2,0,0,1,79,2.5,leddyni01
519,Anders Lee,NYI,28,22,50,-3,5.4,22,6,0,4,214,13.1,leean01
520,Artturi Lehkonen,COL,21,30,51,8,5.0,12,8,1,3,150,14.0,lehkoar01
521,Josh Leivo,STL,4,12,16,0,0.9,4,0,0,0,91,4.4,leivojo01
522,Brendan Lemieux,TOT,2,7,9,-3,0.2,2,0,0,0,44,4.5,lemiebr01
522,Brendan Lemieux,LAK,0,3,3,-6,-0.3,0,0,0,0,22,0.0,lemiebr01
522,Brendan Lemieux,PHI,2,4,6,3,0.5,2,0,0,0,22,9.1,lemiebr01
523,John Leonard,NSH,1,0,1,0,0.1,1,0,0,1,4,25.0,leonajo01
524,Jake Leschyshyn,TOT,0,0,0,-10,-0.9,0,0,0,0,31,0.0,leschja01
524,Jake Leschyshyn,VEG,0,0,0,-7,-0.6,0,0,0,0,23,0.0,leschja01
524,Jake Leschyshyn,NYR,0,0,0,-3,-0.3,0,0,0,0,8,0.0,leschja01
525,Kris Letang,PIT,12,29,41,-13,5.5,5,6,1,3,161,7.5,letankr01
526,Vinni Lettieri,BOS,0,0,0,-1,-0.1,0,0,0,0,1,0.0,lettivi01
527,Anton Levtchi,FLA,0,0,0,0,0.0,0,0,0,0,1,0.0,levtcan01
528,Trevor Lewis,CGY,9,11,20,-7,0.9,7,1,1,1,144,6.3,lewistr01
529,Timothy Liljegren,TOR,6,12,18,24,5.1,5,0,1,0,84,7.1,liljeti01
530,Oskar Lindblom,SJS,6,9,15,-16,0.3,6,0,0,0,75,8.0,lindbos01
531,Esa Lindell,DAL,8,16,24,29,6.8,8,0,0,2,116,6.9,lindees01
532,Ryan Lindgren,NYR,1,17,18,29,5.1,0,0,1,0,75,1.3,lindgry01
533,Elias Lindholm,CGY,22,42,64,6,6.0,11,10,1,2,186,11.8,lindhel01
534,Hampus Lindholm,BOS,10,43,53,49,10.9,9,1,0,2,158,6.3,lindhha01
535,Gustav Lindström,DET,1,7,8,-16,0.3,1,0,0,0,18,5.6,lindsgu01
536,Jake Livingstone,NSH,0,1,1,-2,0.1,0,0,0,0,3,0.0,livinja02
537,Blake Lizotte,LAK,11,23,34,11,2.9,11,0,0,1,108,10.2,lizotbl01
538,William Lockwood,VAN,0,1,1,-7,-0.4,0,0,0,0,12,0.0,lockwwi01
539,Ryan Lomberg,FLA,12,8,20,-1,1.3,12,0,0,1,134,9.0,lombery01
540,Steven Lorentz,SJS,10,9,19,-18,0.7,8,1,1,0,111,9.0,lorenst01
541,Adam Lowry,WPG,13,23,36,4,2.9,10,0,3,2,126,10.3,lowryad01
542,Jake Lucchini,OTT,1,0,1,-2,-0.1,0,1,0,1,14,7.1,lucchja01
543,Milan Lucic,CGY,7,12,19,-13,0.6,7,0,0,0,73,9.6,lucicmi01
544,Matt Luff,DET,2,2,4,-4,0.1,2,0,0,0,20,10.0,luffma01
545,Anton Lundell,FLA,12,21,33,1,2.1,10,0,2,1,152,7.9,lundean01
546,Isac Lundeström,ANA,4,10,14,-13,-0.2,3,0,1,0,60,6.7,lundeis01
547,Nils Lundkvist,DAL,6,10,16,-5,2.7,5,1,0,2,94,6.4,lundkni01
548,Eetu Luostarinen,FLA,17,26,43,19,4.0,15,2,0,1,132,12.9,luostee01
549,Joona Luoto,CBJ,1,0,1,-7,-0.2,1,0,0,0,7,14.3,luotojo01
550,Olle Lycksell,PHI,0,1,1,-3,-0.1,0,0,0,0,5,0.0,lycksol01
551,Ilya Lyubushkin,BUF,2,12,14,-2,1.8,1,0,1,1,41,4.9,lyubuil01
552,Olli Määttä,DET,6,17,23,-9,3.9,6,0,0,0,62,9.7,maattol01
553,Matias Maccelli,ARI,11,38,49,0,4.0,10,1,0,1,61,18.0,maccema01
554,Kurtis MacDermid,COL,1,5,6,-1,0.9,1,0,0,1,20,5.0,macdeku01
555,Jacob MacDonald,TOT,1,7,8,-14,0.5,1,0,0,0,75,1.3,macdoja02
555,Jacob MacDonald,COL,0,2,2,-3,0.2,0,0,0,0,29,0.0,macdoja02
555,Jacob MacDonald,SJS,1,5,6,-11,0.3,1,0,0,0,46,2.2,macdoja02
556,Zack MacEwen,TOT,4,6,10,-11,-0.1,4,0,0,3,73,5.5,macewza01
556,Zack MacEwen,PHI,4,5,9,-9,0.1,4,0,0,3,63,6.3,macewza01
556,Zack MacEwen,LAK,0,1,1,-2,-0.1,0,0,0,0,10,0.0,macewza01
557,Connor Mackey,TOT,3,4,7,-4,1.0,3,0,0,0,31,9.7,mackeco01
557,Connor Mackey,ARI,1,3,4,2,0.9,1,0,0,0,23,4.3,mackeco01
557,Connor Mackey,CGY,2,1,3,-6,0.1,2,0,0,0,8,25.0,mackeco01
558,Nathan MacKinnon,COL,42,69,111,29,13.1,30,12,0,9,366,11.5,mackina01
559,Saku Mäenalanen,WPG,4,6,10,0,0.4,4,0,0,0,61,6.6,maenasa01
560,Josh Mahura,FLA,4,12,16,17,3.6,4,0,0,1,78,5.1,mahurjo01
561,Cale Makar,COL,17,49,66,16,10.5,12,5,0,6,176,9.7,makarca01
562,Beck Malenstyn,WSH,1,1,2,0,0.2,1,0,0,1,7,14.3,malenbe01
563,Denis Malgin,TOT,13,8,21,4,2.2,13,0,0,1,112,11.6,malgide01
563,Denis Malgin,COL,11,6,17,5,2.1,11,0,0,1,66,16.7,malgide01
563,Denis Malgin,TOR,2,2,4,-1,0.1,2,0,0,0,46,4.3,malgide01
564,Evgeni Malkin,PIT,27,56,83,-12,7.6,16,11,0,3,240,11.3,malkiev01
565,Brad Malone,EDM,0,0,0,-4,-0.3,0,0,0,0,7,0.0,malonbr01
566,Mikhail Maltsev,COL,0,0,0,0,-0.1,0,0,0,0,4,0.0,maltsmi01
567,Andrew Mangiapane,CGY,17,26,43,12,3.9,15,2,0,1,182,9.3,mangian01
568,Josh Manson,COL,2,8,10,13,2.5,2,0,0,2,41,4.9,mansojo01
569,Anthony Mantha,WSH,11,16,27,-8,2.0,10,1,0,2,119,9.2,manthan01
570,Brad Marchand,BOS,21,46,67,27,7.0,12,9,0,4,183,11.5,marchbr03
571,Kirill Marchenko,CBJ,21,4,25,-23,2.2,14,7,0,1,131,16.0,marchki01
572,Jonathan Marchessault,VEG,28,29,57,2,6.1,19,9,0,4,234,12.0,audymjo01
573,Mason Marchment,DAL,12,19,31,-6,2.2,10,2,0,2,148,8.1,marchma01
574,John Marino,NJD,4,14,18,21,4.5,4,0,0,0,67,6.0,marinjo01
575,Mitch Marner,TOR,30,69,99,18,10.2,17,9,4,4,196,15.3,marnemi01
576,Pat Maroon,TBL,5,9,14,-5,0.2,5,0,0,0,62,8.1,maroopa01
577,Matt Martin,NYI,7,12,19,4,1.3,7,0,0,1,82,8.5,martima02
578,Alec Martinez,VEG,3,11,14,30,5.0,2,0,1,2,76,3.9,martial01
579,Jordan Martinook,CAR,13,21,34,7,2.9,12,0,1,3,162,8.0,martijo01
580,Mike Matheson,MTL,8,26,34,7,5.4,8,0,0,2,126,6.3,mathemi01
581,Auston Matthews,TOR,40,45,85,31,10.6,27,13,0,8,327,12.2,matthau01
582,Scott Mayfield,NYI,6,18,24,8,5.3,6,0,0,1,119,5.0,mayfisc01
583,Dysin Mayo,ARI,0,0,0,-8,-0.4,0,0,0,0,7,0.0,mayody01
584,Charlie McAvoy,BOS,7,45,52,29,8.8,5,2,0,2,105,6.7,mcavoch01
