,,,Scor,Scor,Scor,Scor,,,Spec,Spec,,Shot,Shot,-additional
Rk,Player,Tm,G,A,PTS,+/-,PS,EV,PP,SH,GW,S,S%,-9999
852,Jack Studnicka,VAN,4,4,8,-11,-0.2,4,0,0,1,65,6.2,studnja01
852,Jack Studnicka,BOS,0,0,0,-1,-0.1,0,0,0,0,0,,studnja01
853,Nico Sturm,SJS,14,12,26,-13,1.7,13,0,1,1,119,11.8,sturmni01
854,Tim Stützle,OTT,39,51,90,-3,10.0,26,10,3,3,228,17.1,stuetti02
855,C.J. Suess,SJS,0,0,0,-1,0.0,0,0,0,0,0,,frankcl01
856,Oskar Sundqvist,TOT,10,18,28,-4,2.1,7,3,0,0,69,14.5,sundqos01
856,Oskar Sundqvist,DET,7,14,21,-4,1.4,5,2,0,0,59,11.9,sundqos01
856,Oskar Sundqvist,MIN,3,4,7,0,0.7,2,1,0,0,10,30.0,sundqos01
857,Pius Suter,DET,14,10,24,-3,1.8,12,0,2,1,106,13.2,suterpi01
858,Ryan Suter,DAL,3,22,25,0,4.4,3,0,0,1,92,3.3,suterry01
859,Nick Suzuki,MTL,26,40,66,-13,5.4,16,7,3,2,162,16.0,suzukni01
860,Andrei Svechnikov,CAR,23,32,55,6,6.1,18,5,0,4,205,11.2,svechan01
861,Evgeny Svechnikov,SJS,8,6,14,-6,0.9,8,0,0,0,64,12.5,svechev01
862,Stanislav Svozil,CBJ,0,1,1,-3,-0.1,0,0,0,0,3,0.0,svozist01
863,Nick Swaney,MIN,0,0,0,0,0.0,0,0,0,0,0,,swaneni01
864,Billy Sweezey,CBJ,0,1,1,-3,0.1,0,0,0,0,3,0.0,sweezbi01
865,Brandon Tanev,SEA,16,19,35,21,3.5,15,0,1,3,115,13.9,tanevbr01
866,Chris Tanev,CGY,1,12,13,7,3.1,1,0,0,1,75,1.3,tanevch01
867,Vladimir Tarasenko,TOT,18,32,50,-14,4.1,14,3,1,1,169,10.7,tarasvl01
867,Vladimir Tarasenko,STL,10,19,29,-18,1.9,7,2,1,0,103,9.7,tarasvl01
867,Vladimir Tarasenko,NYR,8,13,21,4,2.1,7,1,0,1,66,12.1,tarasvl01
868,Tomáš Tatar,NJD,20,28,48,41,5.9,19,1,0,1,153,13.1,tatarto01
869,John Tavares,TOR,36,44,80,-7,8.5,18,18,0,9,277,13.0,tavarjo01
870,Joel Teasdale,MTL,0,1,1,-2,0.0,0,0,0,0,1,0.0,teasdjo01
871,Teuvo Teräväinen,CAR,12,25,37,11,3.5,5,5,2,2,144,8.3,teravte01
872,Troy Terry,ANA,23,38,61,-8,5.5,18,5,0,3,188,12.2,terrytr01
873,Shea Theodore,VEG,8,33,41,16,6.8,6,2,0,2,136,5.9,theodsh01
874,Robert Thomas,STL,18,47,65,-8,5.2,12,5,1,2,106,17.0,thomaro01
875,Tage Thompson,BUF,47,47,94,4,11.1,26,20,1,7,295,15.9,thompta01
876,Tyce Thompson,NJD,0,0,0,-1,-0.1,0,0,0,0,1,0.0,thompty01
877,Lassi Thomson,OTT,0,0,0,-2,-0.1,0,0,0,0,1,0.0,thomsla01
878,Henry Thrun,SJS,0,2,2,-3,0.1,0,0,0,0,7,0.0,thrunhe01
879,Chris Tierney,TOT,3,7,10,-8,0.3,3,0,0,0,19,15.8,tiernch01
879,Chris Tierney,MTL,1,6,7,-7,0.0,1,0,0,0,13,7.7,tiernch01
879,Chris Tierney,FLA,2,1,3,-1,0.2,2,0,0,0,6,33.3,tiernch01
880,Conor Timmins,TOT,2,12,14,-1,1.8,2,0,0,1,19,10.5,timmico01
880,Conor Timmins,TOR,2,12,14,1,1.9,2,0,0,1,16,12.5,timmico01
880,Conor Timmins,ARI,0,0,0,-2,-0.1,0,0,0,0,3,0.0,timmico01
881,Jarred Tinordi,CHI,2,6,8,-17,0.7,2,0,0,1,32,6.3,tinorja01
882,Owen Tippett,PHI,27,22,49,-17,4.7,19,8,0,4,231,11.7,tippeow01
883,Brady Tkachuk,OTT,35,48,83,-10,8.9,24,11,0,6,347,10.1,tkachbr01
884,Matthew Tkachuk,FLA,40,69,109,29,12.3,26,14,0,6,322,12.4,tkachma01
885,Devon Toews,COL,7,43,50,39,10.0,6,1,0,0,165,4.2,toewsde01
886,Jonathan Toews,CHI,15,16,31,-31,2.1,6,9,0,1,87,17.2,toewsjo01
887,Tyler Toffoli,CGY,34,39,73,16,8.6,24,10,0,4,268,12.7,toffoty01
888,Eeli Tolvanen,TOT,18,13,31,8,3.4,14,4,0,4,116,15.5,tolvaee01
888,Eeli Tolvanen,SEA,16,11,27,10,3.2,12,4,0,3,97,16.5,tolvaee01
888,Eeli Tolvanen,NSH,2,2,4,-2,0.3,2,0,0,1,19,10.5,tolvaee01
889,Philip Tomasino,NSH,5,13,18,5,1.7,1,4,0,0,54,9.3,tomasph01
890,Dominic Toninato,WPG,0,1,1,0,0.0,0,0,0,0,7,0.0,tonindo01
891,Alexey Toropchenko,STL,10,9,19,6,1.6,9,0,1,0,86,11.6,toropal01
892,Yakov Trenin,NSH,12,12,24,-7,1.5,10,0,2,2,140,8.6,treniya01
893,Vincent Trocheck,NYR,22,42,64,3,5.7,13,9,0,3,225,9.8,trochvi01
894,Jacob Trouba,NYR,8,22,30,7,5.8,5,2,1,2,199,4.0,troubja01
895,Alex Tuch,BUF,36,43,79,14,9.0,27,8,1,9,218,16.5,tuchal01
896,Tyler Tucker,STL,1,3,4,-9,0.0,1,0,0,0,21,4.8,tuckety01
897,Riley Tufte,DAL,0,0,0,-1,-0.1,0,0,0,0,1,0.0,tufteri01
898,Alex Turcotte,LAK,0,0,0,-2,-0.1,0,0,0,0,2,0.0,turcoal02
899,Urho Vaakanainen,ANA,0,2,2,-16,-0.6,0,0,0,0,27,0.0,vaakaur01
900,Juuso Välimäki,ARI,4,30,34,-10,4.0,3,1,0,1,93,4.3,valimju01
901,James van Riemsdyk,PHI,12,17,29,-3,2.4,10,2,0,1,119,10.1,vanrija01
902,Trevor van Riemsdyk,WSH,7,16,23,10,5.1,7,0,0,0,97,7.2,vanritr01
903,Frank Vatrano,ANA,22,19,41,-29,2.7,17,5,0,1,231,9.5,vatrafr01
904,Joe Veleno,DET,9,11,20,-12,0.8,8,1,0,1,85,10.6,velenjo01
905,Carter Verhaeghe,FLA,42,31,73,10,8.7,35,7,0,2,275,15.3,verhaca01
906,Jimmy Vesey,NYR,11,14,25,13,2.1,10,0,1,4,123,8.9,veseyji02
907,Jeffrey Viel,SJS,0,0,0,0,-0.1,0,0,0,0,4,0.0,vielje01
908,Gabriel Vilardi,LAK,23,18,41,10,4.8,18,5,0,6,122,18.9,vilarga01
909,Alex Vlasic,CHI,0,1,1,-1,0.2,0,0,0,0,4,0.0,vlasial01
910,Marc-Édouard Vlasic,SJS,1,17,18,-14,2.3,1,0,0,0,67,1.5,vlasima01
911,Jakub Voráček,CBJ,1,5,6,-7,0.2,0,1,0,0,17,5.9,voracja01
912,Jakub Vrána,TOT,11,5,16,3,2.1,7,4,0,2,63,17.5,vranaja01
912,Jakub Vrána,STL,10,4,14,2,1.9,6,4,0,2,56,17.9,vranaja01
912,Jakub Vrána,DET,1,1,2,1,0.2,1,0,0,0,7,14.3,vranaja01
913,Austin Wagner,CHI,1,1,2,-2,0.1,1,0,0,1,13,7.7,wagneau01
914,Chris Wagner,BOS,0,0,0,0,0.0,0,0,0,0,0,,wagnech01
915,Oliver Wahlstrom,NYI,7,9,16,5,1.8,6,1,0,1,70,10.0,wahlsol01
916,Nathan Walker,STL,2,8,10,10,0.5,2,0,0,1,43,4.7,walkena01
917,Samuel Walker,MIN,1,1,2,-1,0.1,1,0,0,0,8,12.5,walkesa01
918,Sean Walker,LAK,3,10,13,-3,2.2,3,0,0,1,94,3.2,walkese01
919,Jake Walman,DET,9,9,18,10,4.9,9,0,0,2,140,6.4,walmaja01
920,Austin Watson,OTT,9,2,11,-7,0.5,6,0,3,2,79,11.4,watsoau01
921,MacKenzie Weegar,CGY,4,27,31,15,6.1,4,0,0,1,160,2.5,weegama01
922,Alexander Wennberg,SEA,13,25,38,-7,1.8,9,4,0,3,101,12.9,wennbal01
923,Zach Werenski,CBJ,3,5,8,-6,1.0,3,0,0,0,41,7.3,werenza01
924,Blake Wheeler,WPG,16,39,55,-3,4.8,9,7,0,6,126,12.7,wheelbl01
925,Colin White,FLA,8,7,15,0,1.0,8,0,0,0,64,12.5,whiteco02
926,Colton White,ANA,0,6,6,-17,0.0,0,0,0,0,30,0.0,whiteco03
927,Zach Whitecloud,VEG,5,7,12,10,3.2,5,0,0,1,64,7.8,whiteza01
928,Chris Wideman,MTL,0,6,6,-6,0.6,0,0,0,0,31,0.0,widemch01
929,Maxwell Willman,PHI,0,0,0,-3,-0.2,0,0,0,0,9,0.0,willmma01
930,Tom Wilson,WSH,13,9,22,-13,2.0,9,4,0,1,82,15.9,wilsoto01
931,Christian Wolanin,VAN,0,3,3,5,0.8,0,0,0,0,16,0.0,wolanch01
932,Miles Wood,NJD,13,14,27,1,2.3,11,2,0,2,167,7.8,woodmi01
933,Parker Wotherspoon,NYI,0,1,1,5,0.6,0,0,0,0,10,0.0,wothepa01
934,Shane Wright,SEA,1,1,2,4,0.3,1,0,0,0,4,25.0,wrighsh01
935,Arber Xhekaj,MTL,5,8,13,-9,1.7,3,2,0,0,75,6.7,xhekaar01
936,Kailer Yamamoto,EDM,10,15,25,12,1.9,9,0,1,3,97,10.3,yamamka01
937,Jesse Ylönen,MTL,6,10,16,-11,0.9,5,1,0,1,43,14.0,yloneje01
938,Cameron York,PHI,2,18,20,-1,3.2,2,0,0,0,42,4.8,yorkca01
939,Pavel Zacha,BOS,21,36,57,26,6.1,18,3,0,3,131,16.0,zachapa01
940,Filip Zadina,DET,3,4,7,-5,0.2,3,0,0,2,51,5.9,zadinfi01
941,Nikita Zadorov,CGY,14,7,21,10,5.6,14,0,0,2,130,10.8,zadorni01
942,Nikita Zaitsev,TOT,1,7,8,-9,1.1,1,0,0,0,20,5.0,zaitsni01
942,Nikita Zaitsev,OTT,0,5,5,-5,0.6,0,0,0,0,10,0.0,zaitsni01
942,Nikita Zaitsev,CHI,1,2,3,-4,0.5,1,0,0,0,10,10.0,zaitsni01
943,Yegor Zamula,PHI,0,4,4,0,0.6,0,0,0,0,8,0.0,zamulye01
944,Jakub Zbořil,BOS,1,3,4,-1,0.6,1,0,0,1,13,7.7,zborija01
945,Trevor Zegras,ANA,23,42,65,-24,5.0,19,4,0,3,184,12.5,zegratr01
946,Fabian Zetterlund,TOT,6,17,23,-6,1.1,5,1,0,1,118,5.1,zettefa01
946,Fabian Zetterlund,NJD,6,14,20,4,1.6,5,1,0,1,81,7.4,zettefa01
946,Fabian Zetterlund,SJS,0,3,3,-10,-0.5,0,0,0,0,37,0.0,zettefa01
947,Mika Zibanejad,NYR,39,52,91,25,10.6,18,20,1,5,251,15.5,zibanmi01
948,Radim Zohorna,TOT,1,0,1,-1,0.0,1,0,0,0,9,11.1,zohorra01
948,Radim Zohorna,CGY,0,0,0,-2,-0.2,0,0,0,0,3,0.0,zohorra01
948,Radim Zohorna,TOR,1,0,1,1,0.2,1,0,0,0,6,16.7,zohorra01
949,Artem Zub,OTT,3,7,10,2,2.5,3,0,0,0,41,7.3,zubar01
950,Mats Zuccarello,MIN,22,45,67,-3,6.2,13,9,0,3,198,11.1,zuccama01
951,Jason Zucker,PIT,27,21,48,-4,5.0,25,2,0,5,197,13.7,zuckeja01


.
