"","event_type","xg","secondary_type","event_goalie_id","goal"
"721","SHOT",0.00114761630538851,"wrist",8475831,0
"725","SHOT",0.000693656038492918,"wrist",8478499,0
"727","SHOT",0.279520928859711,"tip-in",8478499,0
"728","SHOT",0.00194527534767985,"wrist",8478499,0
"735","GOAL",0.179073661565781,"tip-in",NA,1
"747","SHOT",0.00253103068098426,"snap",8475831,0
"748","SHOT",0.0045401556417346,"wrist",8475831,0
"758","SHOT",0.191889077425003,"tip-in",8475831,0
"765","SHOT",0.00658620754256845,"snap",8475831,0
"766","GOAL",0.00244185887277126,"snap",8475831,1
"770","SHOT",0.00114523887168616,"wrist",8475831,0
"771","SHOT",0.00057317124446854,"wrist",8475831,0
"774","SHOT",0.00131976418197155,"wrist",8478499,0
"778","SHOT",0.00516282580792904,"wrist",8475831,0
"781","SHOT",0.000773985462728888,"wrist",8475831,0
"788","SHOT",0.000750200997572392,"wrist",8478499,0
"789","SHOT",0.00995602738112211,"wrist",8478499,0
"792","SHOT",0.000409775617299601,"wrist",8478499,0
"795","SHOT",0.000555003876797855,"wrist",8475831,0
"796","SHOT",0.152307093143463,"deflected",8475831,0
"801","SHOT",0.000637948629446328,"slap",8478499,0
"802","GOAL",0.00317013822495937,"wrist",8478499,1
"807","SHOT",0.00386367389000952,"wrist",8475831,0
"808","SHOT",0.0184212047606707,"wrist",8475831,0
"830","SHOT",0.0036977983545512,"wrist",8478499,0
"836","SHOT",0.0676770284771919,"tip-in",8478499,0
"837","SHOT",0.0132501814514399,"snap",8478499,0
"840","SHOT",0.148901000618935,"deflected",8478499,0
"854","SHOT",0.000850130571052432,"wrist",8475831,0
"867","SHOT",0.000700314529240131,"wrist",8475831,0
"871","SHOT",0.000774655432906002,"snap",8475831,0
"873","SHOT",0.000473011779831722,"wrist",8475831,0
"884","SHOT",0.000480922550195828,"wrist",8475831,0
"887","SHOT",0.000230902223847806,"wrist",8475831,0
"889","SHOT",0.000477124704048038,"snap",8478499,0
"893","SHOT",0.000898398866411299,"slap",8478499,0
"898","SHOT",0.00327933859080076,NA,8475831,0
"904","SHOT",0.344194322824478,"tip-in",8478499,0
"906","SHOT",0.00251685897819698,"wrist",8478499,0
"918","SHOT",0.369296431541443,"backhand",8478499,0
"921","SHOT",0.00228331470862031,"wrist",8478499,0
"922","SHOT",0.00293949036858976,"slap",8478499,0
"923","SHOT",0.00222553219646215,"slap",8478499,0
"938","SHOT",0.00255626137368381,"wrist",8478499,0
"939","SHOT",0.00203567882999778,"wrist",8478499,0
"961","GOAL",0.917921364307404,"wrist",NA,1
"981","SHOT",0.15539088845253,"tip-in",8475883,0
"987","SHOT",0.00183589139487594,"wrist",8475883,0
"988","GOAL",0.185143575072289,"tip-in",8475883,1
"999","SHOT",0.0019714217633009,"wrist",8475883,0
"1001","SHOT",0.00265732267871499,"wrist",8475883,0
"1002","SHOT",0.115340560674667,"backhand",8476914,0
"1003","SHOT",0.0113402353599668,"wrist",8476914,0
"1006","SHOT",0.000971718283835799,"slap",8476914,0
"1007","SHOT",0.000665063445921987,"wrist",8476914,0
"1011","SHOT",0.178739085793495,"deflected",8475883,0
"1017","SHOT",0.000787290802691132,"wrist",8476914,0
"1024","SHOT",0.0347579568624496,"backhand",8475883,0
"1028","SHOT",0.00135234964545816,"wrist",8475883,0
"1034","SHOT",0.00100355548784137,"wrist",8475883,0
"1037","SHOT",0.213928878307343,"tip-in",8476914,0
"1038","SHOT",0.000494878157041967,"wrist",8476914,0
"1040","SHOT",0.000521777779795229,"wrist",8476914,0
"1041","SHOT",0.096541054546833,"backhand",8476914,0
"1046","SHOT",0.00047173656639643,"wrist",8476914,0
"1049","SHOT",0.00350416265428066,"snap",8476914,0
"1055","SHOT",0.000570937059819698,"wrist",8476914,0
"1061","SHOT",0.00444641010835767,"snap",8475883,0
"1069","SHOT",0.0157891102135181,"deflected",8475883,0
"1079","SHOT",0.00486255995929241,"wrist",8476914,0
"1080","SHOT",0.00663598394021392,"poke",8476914,0
"1084","SHOT",0.00298340176232159,"wrist",8475883,0
"1092","SHOT",0.000383918784791604,"wrist",8475883,0
"1108","SHOT",0.0025196869391948,"slap",8476914,0
"1109","SHOT",0.0281922593712807,"bat",8476914,0
"1110","GOAL",0.0137669136747718,"wrist",8476914,1
"1118","SHOT",0.0581472106277943,"backhand",8475883,0
"1121","SHOT",0.031638789921999,"snap",8475883,0
"1124","SHOT",0.00036007838207297,"wrist",8475883,0
"1128","SHOT",0.0125763602554798,"wrist",8475883,0
"1129","SHOT",0.00166391953825951,"wrist",8475883,0
"1135","SHOT",0.000420350319473073,"wrist",8475883,0
"1138","SHOT",0.00169938709586859,"wrist",8475883,0
"1144","SHOT",0.000766966375522316,"wrist",8476914,0
"1154","SHOT",0.00286590191535652,"wrist",8476914,0
"1158","SHOT",0.000678590033203363,"wrist",8475883,0
"1159","SHOT",0.00314310938119888,"wrist",8476914,0
"1165","SHOT",0.000428784202085808,"wrist",8476914,0
"1169","SHOT",0.00337179517373443,"wrist",8476914,0
"1170","SHOT",0.00100185500923544,"wrist",8476914,0
"1173","SHOT",0.000580895051825792,"wrist",8476914,0
