"","event_type","xg","secondary_type","event_goalie_id","goal","goalie_id_stan"
"166625","SHOT",1.59100803946881,"wrap-around",8479973,0,63
"166630","SHOT",-0.383834202784296,"wrist",8479973,0,63
"166631","SHOT",-0.381541381261617,"wrist",8478039,0,45
"166639","SHOT",-0.371733561717563,"wrist",8478007,0,42
"166642","SHOT",-0.384954666163561,"snap",8478492,0,50
"166653","GOAL",2.45728665813772,"tip-in",8478007,1,42
"166670","SHOT",-0.374230011457369,"wrist",8478007,0,42
"166672","SHOT",1.53126381794629,"backhand",8478007,0,42
"166673","SHOT",-0.362443942081426,"wrist",8478007,0,42
"166674","SHOT",0.669286559830907,"bat",8478007,0,42
"166686","SHOT",-0.381960675864395,"wrist",8478007,0,42
"166689","SHOT",-0.388566161208488,"wrist",8478007,0,42
"166694","GOAL",-0.369142897545906,"snap",8478492,1,50
"166699","GOAL",-0.377412629103296,"snap",8478007,1,42
"166701","SHOT",-0.329726706736008,"poke",8478492,0,50
"166707","SHOT",-0.363238219944463,"wrist",8478007,0,42
"166713","SHOT",-0.388535568724003,"wrist",8478492,0,50
"166714","SHOT",1.31879715028329,"tip-in",8478007,0,42
"166719","SHOT",-0.361703877469974,"wrist",8478007,0,42
"166722","SHOT",-0.385639117020132,"snap",8478007,0,42
"166726","SHOT",-0.289752930819828,"snap",8478007,0,42
"166740","SHOT",-0.379762367353684,"snap",8477484,0,36
"166741","SHOT",-0.385320953812643,"snap",8477484,0,36
"166742","GOAL",1.80728481527455,"deflected",8477484,1,36
"166745","SHOT",-0.385627040352738,"wrist",8478492,0,50
"166749","GOAL",-0.335267956726558,"wrist",8478492,1,50
"166752","SHOT",-0.376217617369919,"wrist",8477484,0,36
"166753","SHOT",-0.387843297463873,"wrist",8477484,0,36
"166757","SHOT",-0.275280059607994,"snap",8478492,0,50
"166761","SHOT",-0.389064065368276,"wrist",8477484,0,36
"166762","SHOT",1.17054788258142,"tip-in",8478492,0,50
"166766","SHOT",-0.373153781567353,"wrist",8477484,0,36
"166773","GOAL",-0.339906194359949,"snap",8477484,1,36
"166775","SHOT",-0.386742008232357,"wrist",8477484,0,36
"166783","SHOT",-0.333630142981083,"slap",8478492,0,50
"166785","GOAL",4.97240394848733,"deflected",8478492,1,50
"166787","SHOT",-0.30458076502459,"wrist",8477484,0,36
"166792","GOAL",3.81586085978274,"backhand",8478492,1,50
"166794","SHOT",-0.385613931060129,"wrist",8477484,0,36
"166817","GOAL",7.50755067061171,"tip-in",8477484,1,36
"166830","SHOT",-0.383019161197992,"wrist",8478492,0,50
"166845","SHOT",-0.365360024358524,"slap",8478492,0,50
"166850","SHOT",-0.382722564201303,"wrist",8477484,0,36
"166853","SHOT",-0.381491212957853,"snap",8477484,0,36
"166854","SHOT",-0.328787046877824,"wrist",8477484,0,36
"166861","SHOT",-0.371436684106897,"wrist",8477484,0,36
"166862","SHOT",-0.387070809532839,"wrist",8478492,0,50
"166874","SHOT",-0.371750148741325,"wrist",8478492,0,50
"166876","SHOT",-0.384010365052854,"wrist",8478492,0,50
"166877","SHOT",-0.379814709560243,"wrist",8478492,0,50
"166879","SHOT",-0.387764486857213,"snap",8478492,0,50
"166886","GOAL",-0.379511442848409,"snap",8478492,1,50
"166894","SHOT",-0.0920254301889753,"wrap-around",8477484,0,36
"166895","SHOT",-0.323475961946933,"snap",8477484,0,36
"166898","SHOT",-0.38205138433259,"wrist",8477484,0,36
"166926","SHOT",-0.38986859804668,"wrist",8479312,0,58
"166930","SHOT",-0.346452227184171,"wrist",8479312,0,58
"166931","SHOT",-0.290655556477238,"wrist",8479312,0,58
"166939","SHOT",0.375996879479998,"backhand",8479312,0,58
"166943","SHOT",0.0747265923657112,"snap",8477424,0,33
"166955","SHOT",0.431755944491837,"backhand",8479312,0,58
"166959","SHOT",-0.38013750460942,"wrist",8479312,0,58
"166967","SHOT",-0.335311321852432,"backhand",8479312,0,58
"166975","SHOT",-0.386257040975798,"slap",8477424,0,33
"166977","GOAL",-0.336369092818129,"snap",8479312,1,58
"166980","SHOT",-0.0659825914518312,"wrap-around",8479312,0,58
"166985","SHOT",-0.388239445691166,"wrist",8479312,0,58
"166989","SHOT",1.80643306287797,"wrap-around",8479312,0,58
"166993","SHOT",-0.382640678818318,"wrist",8479312,0,58
"166994","SHOT",-0.320117929766035,"wrist",8479312,0,58
"166999","SHOT",-0.38529345706498,"wrist",8477424,0,33
"167006","SHOT",-0.356899348677998,"wrist",8477424,0,33
"167007","SHOT",2.93810909909923,"backhand",8477424,0,33
"167008","SHOT",-0.103991330347912,"snap",8477424,0,33
"167011","SHOT",-0.297241272224411,"snap",8477424,0,33
"167013","SHOT",-0.338360117430233,"wrist",8479312,0,58
"167016","SHOT",-0.386514584719924,"wrist",8477424,0,33
"167036","SHOT",-0.384122289819908,"wrist",8477424,0,33
"167041","GOAL",-0.308846720307252,"snap",8477424,1,33
"167051","SHOT",1.46636155561845,"tip-in",8479312,0,58
"167055","SHOT",-0.363827663292484,"wrist",8477424,0,33
"167057","SHOT",-0.32408214289207,"wrist",8479312,0,58
"167058","SHOT",-0.291067662057905,"wrist",8479312,0,58
"167059","SHOT",-0.272131721354891,"wrist",8479312,0,58
"167061","SHOT",-0.380852190766526,"wrist",8479312,0,58
"167063","SHOT",-0.356174515930124,"wrist",8479312,0,58
"167079","SHOT",-0.212857302384481,"wrist",8477424,0,33
"167083","SHOT",1.62017809512407,"tip-in",8479312,0,58
"167084","SHOT",-0.352146805336398,"wrist",8479312,0,58
"167108","SHOT",-0.299577301455366,"wrist",8477424,0,33
"167112","GOAL",-0.30958949181695,"wrist",8479312,1,58
"167132","SHOT",-0.390407770427286,"wrist",8479312,0,58
"167138","SHOT",-0.368923125469775,"wrist",8477424,0,33
"167146","SHOT",-0.329061213577989,"wrist",8479312,0,58
"167157","SHOT",0.585239360985076,"backhand",8479312,0,58
"167162","SHOT",-0.355388666752774,"wrist",8479312,0,58
"167164","SHOT",-0.374203026316896,"wrist",8477424,0,33
"167170","SHOT",-0.385122759924738,"wrist",8477424,0,33
"167179","GOAL",-0.365142803474102,"snap",8477424,1,33
"167183","SHOT",-0.379299128430939,"wrist",8479312,0,58
"167186","SHOT",-0.387463127122682,"slap",8477424,0,33
"167187","GOAL",-0.382152050319331,"wrist",8477424,1,33
"167196","SHOT",2.0438750863311,"tip-in",8479312,0,58
"167197","GOAL",-0.345320925090029,"wrist",8479312,1,58
"167199","SHOT",-0.370647176681476,"wrist",8477424,0,33
"167203","SHOT",-0.384858481445154,"wrist",8479312,0,58
"167210","SHOT",3.36444917282667,"tip-in",8479312,0,58
"167218","SHOT",-0.385883895394877,"wrist",8479312,0,58
"167222","SHOT",-0.376925132471053,"wrist",8479312,0,58
"167247","SHOT",-0.387125579734727,"wrist",8471734,0,2
"167251","SHOT",-0.382200630758639,"snap",8475683,0,11
"167263","SHOT",-0.38656994181568,"wrist",8471734,0,2
"167264","SHOT",-0.357716342584719,"snap",8471734,0,2
"167275","SHOT",-0.28241640157702,"backhand",8471734,0,2
"167277","SHOT",-0.349109347247708,"snap",8475683,0,11
"167279","SHOT",-0.333985995725646,"wrist",8475683,0,11
"167286","SHOT",-0.306144626720654,"wrist",8471734,0,2
"167287","SHOT",-0.387936720102322,"wrist",8471734,0,2
"167288","SHOT",-0.347246149146554,"wrist",8475683,0,11
"167292","SHOT",-0.37428821832495,"wrist",8471734,0,2
"167295","SHOT",-0.379443412780558,"wrist",8475683,0,11
"167322","SHOT",-0.295055385159852,"wrist",8471734,0,2
"167328","SHOT",-0.387970111026807,"snap",8475683,0,11
"167330","SHOT",-0.373875573760119,"snap",8475683,0,11
"167338","SHOT",-0.358894469569748,"snap",8475683,0,11
"167342","SHOT",-0.32110117376588,"wrist",8471734,0,2
"167344","GOAL",-0.371313626322502,"wrist",8471734,1,2
"167347","SHOT",-0.382294993197253,"wrist",8475683,0,11
"167350","SHOT",3.19656086899081,"tip-in",8475683,0,11
"167364","SHOT",-0.381502436661418,"wrist",8475683,0,11
"167368","SHOT",-0.380809881365189,"slap",8475683,0,11
"167369","SHOT",6.17929351029973,"deflected",8475683,0,11
"167379","SHOT",-0.381021747484719,"snap",8475683,0,11
"167384","SHOT",-0.346248439838386,"wrist",8475683,0,11
"167387","SHOT",-0.384735434782654,"wrist",8475683,0,11
"167388","SHOT",-0.019305809990169,"tip-in",8471734,0,2
"167390","SHOT",8.45994432568168,"tip-in",8475683,0,11
"167397","SHOT",-0.300835287071818,"wrist",8471734,0,2
"167399","GOAL",-0.316468668186295,"wrist",8471734,1,2
"167403","SHOT",-0.309410884442455,"wrist",8471734,0,2
"167408","SHOT",-0.386775140786655,"snap",8471734,0,2
"167414","SHOT",-0.368435851275441,"wrist",8475683,0,11
"167428","SHOT",-0.383930839222764,"slap",8471734,0,2
"167429","GOAL",-0.352475332439381,"snap",8475683,1,11
"167431","SHOT",-0.294663908128646,"wrist",8471734,0,2
"167437","GOAL",-0.313232333496426,"wrist",8475683,1,11
"167440","SHOT",-0.335114310307565,"wrist",8475683,0,11
"167441","SHOT",-0.384771393581691,"snap",8471734,0,2
"167447","SHOT",-0.377354483833905,"wrist",8475683,0,11
"167448","SHOT",-0.375676179544764,"wrist",8471734,0,2
"167453","SHOT",-0.315625847527289,"wrist",8471734,0,2
"167454","GOAL",2.01257313100283,"tip-in",8471734,1,2
"167457","SHOT",-0.200820523241398,"backhand",8475683,0,11
"167459","SHOT",-0.326320470549186,"wrist",8475683,0,11
"167460","SHOT",-0.385315732510497,"wrist",8471734,0,2
"167464","SHOT",-0.391125483664896,"wrist",8471734,0,2
"167472","SHOT",0.792628038113,"deflected",8471734,0,2
"167481","SHOT",-0.380964489400373,"snap",8471734,0,2
"167486","SHOT",-0.382105942362935,"wrist",8475683,0,11
"167489","SHOT",-0.378567494216235,"slap",8475683,0,11
"167500","SHOT",-0.38438969012999,"wrist",8475683,0,11
"167507","SHOT",-0.360842108523249,"snap",8475683,0,11
"167508","SHOT",-0.360425783466555,"wrist",8475683,0,11
"167518","SHOT",-0.377248976400524,"wrist",8475683,0,11
"167521","SHOT",-0.385664511729556,"wrist",8471734,0,2
"167523","SHOT",2.39683523463818,"backhand",8471734,0,2
"167524","SHOT",3.62099287717981,"tip-in",8475683,0,11
"167528","SHOT",-0.385299294349028,"wrist",8471734,0,2
"167529","SHOT",2.18456338151794,"deflected",8475683,0,11
"167540","GOAL",-0.356050600904249,"slap",8475683,1,11
"167543","SHOT",-0.351021957363737,"wrist",8471734,0,2
"167546","SHOT",1.35504141586643,"backhand",8471734,0,2
"167548","GOAL",-0.357771691980701,"wrist",8471734,1,2
"167561","SHOT",-0.389352968579907,"wrist",8475683,0,11
"167576","SHOT",-0.379401235986436,"snap",8482076,0,83
"167584","SHOT",-0.385743501997604,"slap",8476914,0,26
"167589","SHOT",-0.371448457916522,"snap",8476914,0,26
"167591","SHOT",-0.378747569680929,"slap",8476914,0,26
"167602","SHOT",-0.280538471242052,"deflected",8482076,0,83
"167607","SHOT",-0.375349974351338,"wrist",8476914,0,26
"167610","SHOT",-0.250604071022048,"wrist",8482076,0,83
"167612","SHOT",-0.368964348347479,"wrist",8476914,0,26
"167624","GOAL",-0.301750266588477,"wrist",8482076,1,83
"167629","SHOT",-0.387723187837301,"snap",8476914,0,26
"167642","GOAL",-0.33617620150776,"wrist",8476914,1,26
"167675","SHOT",-0.331634833872641,"wrist",8482076,0,83
"167679","SHOT",-0.349399642407331,"snap",8476914,0,26
"167680","SHOT",-0.363694703599021,"wrist",8482076,0,83
"167686","GOAL",-0.248501396268154,"snap",8476914,1,26
